OBST ID;TYPE;COORD;LAT;LONG;HGT AGL (FT);ELEV MSL (FT);LGT COLOR;LGT TYPE;LGT INTST;LGT HR;MARKINGS;Area of coverage;Identification of the data originator;Data source identifier;Horizontal accuracy (m);Horizontal confidence level (%);Horizontal resolution (m);Horizontal extent;Horizontal reference system;Vertical accuracy (m);Vertical confidence level (%);Vertical resolution (m);Vertical reference system;Geometry type;Unit of measurement;Integrity;Date and time stamp
EFINOB 10509;Mast;645035.648N 260217.885E;64.8432356478;26.0383014562;332;521;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1975 0.00.00 +00:00
EFINOB 10513;Mast;643946.653N 250556.543E;64.6629590639;25.0990396084;329;487;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;23.12.1986 0.00.00 +00:00
EFINOB 10514;Mast;643925.866N 250430.908E;64.6571850062;25.0752523414;387;571;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;16.11.1987 0.00.00 +00:00
EFINOB 10515;Mast;643936.432N 250541.805E;64.6601201247;25.0949459672;401;563;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 10643;Mast;632148.175N 211828.914E;63.3633820599;21.308031611;415;425;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;4.11.1987 0.00.00 +00:00
EFINOB 10645;Mast;631231.461N 213200.915E;63.2087390909;21.5335876066;394;459;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;15.2.1990 0.00.00 +00:00
EFINOB 10672;Mast;625600.16N 222430.208E;62.9333777162;22.4083909724;366;494;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;4.11.1987 0.00.00 +00:00
EFINOB 10772;Mast;600825.946N 241402.695E;60.1405406322;24.2340820799;405;462;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;4.11.1987 0.00.00 +00:00
EFINOB 10777;Mast;601134.102N 241434.92E;60.1928060663;24.2430333257;394;650;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;3.4.1990 0.00.00 +00:00
EFINOB 10778;Mast;595926.23N 242604.328E;59.990619482;24.434535434;329;430;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;8.6.1989 0.00.00 +00:00
EFINOB 10791;Chimney;600856.523N 244303.142E;60.1490342149;24.7175395387;490;499;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1977 0.00.00 +00:00
EFINOB 10792;Mast;601100.523N 244503.553E;60.1834785159;24.7509869053;348;435;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;19.2.1990 0.00.00 +00:00
EFINOB 10804;Mast;601148.742N 245612.662E;60.1968727281;24.9368505322;341;447;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;1.2.1990 0.00.00 +00:00
EFINOB 10807;Mast;601309.66N 245515.082E;60.2193498704;24.9208562307;394;510;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;1.2.1989 0.00.00 +00:00
EFINOB 10809;Chimney;601227.782N 245422.456E;60.2077170863;24.9062377485;368;438;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1975 0.00.00 +00:00
EFINOB 10813;Chimney;600951.674N 245410.986E;60.1643538434;24.9030516932;351;361;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1967 0.00.00 +00:00
EFINOB 10814;Chimney;600955.161N 245416.857E;60.1653226025;24.9046823955;493;503;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1982 0.00.00 +00:00
EFINOB 10819;Chimney;601101.146N 245817.62E;60.1836517446;24.9715612384;466;476;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1975 0.00.00 +00:00
EFINOB 10820;Chimney;601333.381N 250447.049E;60.2259391113;25.0797358296;330;432;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1982 0.00.00 +00:00
EFINOB 10821;Mast;600838.503N 250159.126E;60.1440285476;25.0330904894;427;436;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;10.6.1982 0.00.00 +00:00
EFINOB 10829;Tower;601216.909N 245523.21E;60.204696902;24.9231139927;443;541;R;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;4.11.1987 0.00.00 +00:00
EFINOB 10854;Mast;602554.223N 242900.63E;60.431728692;24.483508293;329;734;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.7.1989 0.00.00 +00:00
EFINOB 10860;Mast;603238.585N 242859.14E;60.5440514741;24.483094394;334;814;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1968 0.00.00 +00:00
EFINOB 10881;Chimney;601401.917N 245321.5E;60.2338658033;24.8893055212;348;422;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1977 0.00.00 +00:00
EFINOB 10890;Mast;602452.189N 244556.822E;60.4144970643;24.7657838289;329;638;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;17.5.1989 0.00.00 +00:00
EFINOB 10897;Chimney;601414.894N 245849.012E;60.2374706481;24.9802811775;389;433;R;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1982 0.00.00 +00:00
EFINOB 10952;Mast;602248.875N 251825.815E;60.3802430515;25.3071709402;329;556;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;7.8.1989 0.00.00 +00:00
EFINOB 10963;Mast;603634.65N 245348.651E;60.6096251166;24.8968475338;334;645;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1974 0.00.00 +00:00
EFINOB 10988;Chimney;601842.278N 253130.639E;60.3117440244;25.5251774381;344;390;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1967 0.00.00 +00:00
EFINOB 10994;Chimney;601850.347N 253137.347E;60.3139852396;25.527040761;345;395;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;28.12.1987 0.00.00 +00:00
EFINOB 10998;Mast;602311.284N 254038.8E;60.3864676545;25.677444570305557;434;538;R;F;NIL;HN;Y;NIL;NIL;Traficom;5;90;5;NIL;NIL;3;90;0.1;NIL;POINT;ft/m;Essential;31.12.1976 0.00.00 +00:00
EFINOB 11057;Mast;604812.458N 233443.959E;60.8034606107;23.5788775839;401;746;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;29.6.1990 0.00.00 +00:00
EFINOB 11073;Mast;605548.582N 235353.262E;60.9301615609;23.8981284526;716;1278;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;22.10.1973 0.00.00 +00:00
EFINOB 11112;Mast;612714.382N 230604.816E;61.4539950017;23.10133769;336;929;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;4.11.1987 0.00.00 +00:00
EFINOB 11138;Chimney;612825.774N 232949.862E;61.4738262024;23.4971839444;364;651;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1967 0.00.00 +00:00
EFINOB 11141;Mast;613232.276N 233552.726E;61.5422989111;23.5979794923;407;949;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 11189;Tower;613017.861N 234435.807E;61.5049614936;23.7432795954;567;936;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1971 0.00.00 +00:00
EFINOB 11190;Chimney;613021.871N 234549.901E;61.5060753325;23.763861443;345;671;R;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1967 0.00.00 +00:00
EFINOB 11224;Mast;613942.89N 235233.427E;61.6619140096;23.8759520028;1070;1648;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1980 0.00.00 +00:00
EFINOB 11230;Mast;605910.985N 242657.532E;60.9863847074;24.4493144787;367;794;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1981 0.00.00 +00:00
EFINOB 11231;Mast;605931.201N 242448.634E;60.9920002434;24.4135094936;429;873;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1981 0.00.00 +00:00
EFINOB 11248;Mast;611536.822N 240324.79E;61.2602284632;24.0568860593;361;727;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 11249;Chimney;611551.353N 240121.624E;61.2642647212;24.022673355;402;671;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1967 0.00.00 +00:00
EFINOB 11250;Chimney;611642.951N 240250.144E;61.2785974773;24.0472622486;422;724;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1981 0.00.00 +00:00
EFINOB 11291;Mast;614911.399N 242145.913E;61.8198331453;24.3627534838;369;900;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;6.11.1987 0.00.00 +00:00
EFINOB 11364;Mast;645148.548N 264317.29E;64.863485631;26.721469464;388;786;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;26.4.1991 0.00.00 +00:00
EFINOB 11367;Mast;640544.315N 270634.487E;64.0956431544;27.1095796389;365;990;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;28.7.1987 0.00.00 +00:00
EFINOB 11377;Mast;641314.973N 274502.838E;64.2208258956;27.7507882154;383;892;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1974 0.00.00 +00:00
EFINOB 11382;Chimney;641400.535N 274121.227E;64.2334819924;27.6892297115;329;748;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;4.8.1987 0.00.00 +00:00
EFINOB 11385;Mast;641237.938N 274232.576E;64.2105382185;27.7090488011;391;1018;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1983 0.00.00 +00:00
EFINOB 11396;Mast;641454.628N 275757.434E;64.2485076538;27.9659540119;506;1326;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1983 0.00.00 +00:00
EFINOB 11398;Mast;640734.928N 281512.363E;64.126369024;28.253434302;1060;2018;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1976 0.00.00 +00:00
EFINOB 11407;Mast;641951.576N 280538.035E;64.3309933736;28.0938987076;363;1061;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1976 0.00.00 +00:00
EFINOB 11430;Mast;653415.006N 253836.164E;65.570835049;25.643378933;358;629;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;26.2.1987 0.00.00 +00:00
EFINOB 11440;Mast;651940.157N 265741.901E;65.3278215201;26.9616391159;414;825;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;15.2.1988 0.00.00 +00:00
EFINOB 11447;Mast;654939.272N 264840.685E;65.8275755844;26.811301258;344;1039;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1972 0.00.00 +00:00
EFINOB 11452;Mast;652153.352N 270156.493E;65.364819866;27.032359048;345;735;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1972 0.00.00 +00:00
EFINOB 11456;Mast;651805.617N 282115.734E;65.3015603642;28.3543704967;903;1831;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 11460;Mast;653358.506N 281904.096E;65.5662516892;28.317804533;545;1452;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1969 0.00.00 +00:00
EFINOB 11463;Mast;660010.105N 273800.825E;66.0028069307;27.6335624813;742;1713;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 11471;Mast;663257.472N 253415.974E;66.5492977293;25.5711040149;706;1333;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
EFINOB 11485;Mast;663045.653N 254041.749E;66.51268152;25.6782635247;336;862;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1978 0.00.00 +00:00
EFINOB 11509;Mast;662030.752N 271013.471E;66.3418756235;27.1704086572;433;1051;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1969 0.00.00 +00:00
EFINOB 11526;Mast;670115.825N 271254.851E;67.0210625579;27.2152363227;863;2419;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;20.7.1990 0.00.00 +00:00
EFINOB 11551;Mast;681010.455N 254656.69E;68.169570966;25.782413979;404;1311;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;6.4.1987 0.00.00 +00:00
EFINOB 11577;Mast;685108.289N 270722.156E;68.8523024653;27.122821182;739;1928;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1984 0.00.00 +00:00
